X,Y,Z,V,MAx,MAy,MAz,MAv,Activity
-2.439,-4.35,2.817,5.727714,-1.052,-7.846,3.593,8.939,3
-0.067597,-9.777073,-1.277767,9.860447,-0.419,-9.812,-1.295,9.908,2
0.17358,1.055843,9.3733,9.434176,-0.062,0.781,10.748,10.781,3
2.677868,2.6336,8.933005,9.69048,2.684,2.547,8.173,8.974,3
2.02395,6.37695,9.217051,11.389288,0.278,6.822,10.176,12.344,4
-0.413,2.257732,8.779537,9.074591,-0.359,2.142,9.382,9.632,3
1.392623,2.704189,9.125926,9.619489,1.548,2.753,9.279,9.803,2
0.804587,0.954138,9.70798,9.787881,0.805,0.952,9.69,9.77,0
-0.335121,1.943703,6.384058,6.681802,-0.306,1.723,6.671,6.902,3
-0.684,0.52695,9.924001,9.961492,-0.8,0.502,9.794,9.84,1
1.470389,2.427519,9.684052,10.091371,1.496,2.462,9.603,10.026,2
0.354271,1.752205,9.488716,9.655644,0.393,1.781,9.594,9.766,0
-3.513985,-8.897467,-2.080145,9.789791,-3.466,-8.945,-2.109,9.823,2
-1.943703,2.441597,6.728754,7.417244,-1.982,2.566,6.978,7.694,3
1.764527,5.197812,8.08881,9.775462,1.724,5.178,8.099,9.766,0
-2.096901,2.786293,9.258919,9.893836,-2.097,2.767,9.259,9.888,0
1.243788,5.197812,8.237251,9.819194,1.161,5.159,8.21,9.766,0
0.08295,0.201,9.723001,9.725431,0.061,0.237,9.837,9.84,1
-0.51,-9.312,1.26105,9.410829,-0.949,-8.949,1.263,9.098,3
-5.103839,1.39163,6.591237,8.45164,-5.69,1.78,5.044,7.984,4
-2.824593,-9.050665,-2.731237,9.866738,-2.978,-8.993,-2.712,9.855,2
-2.518196,-9.357061,-1.237555,9.768697,-2.556,-9.271,-1.429,9.724,2
0.946907,3.074155,8.701726,9.277235,1.041,3.14,8.353,8.985,2
2.443072,6.3009,7.837092,10.348428,2.419,6.333,7.76,10.304,1
-0.694318,3.636792,9.16261,9.882396,-0.703,3.666,9.037,9.778,1
1.108774,3.366402,9.332008,9.982406,1.139,3.385,9.312,9.973,1
2.767143,2.326698,5.732965,6.777721,2.566,2.221,6.116,7,3
1.415355,2.408376,9.545269,9.945635,1.459,2.387,9.588,9.988,2
0.315853,-0.147159,9.898509,9.904641,0.317,-0.132,9.9,9.906,0
1.42455,4.489128,8.392874,9.62403,1.423,4.483,8.537,9.747,0
-5.244,-9.424951,-2.68695,11.115257,-4.231,-12.517,4.018,14.565,3
-1.790504,3.245888,9.18232,9.902358,-1.819,3.284,9.077,9.823,0
0.852165,1.982002,9.680214,9.917715,0.91,1.953,9.584,9.824,0
-3.552284,-8.820868,-2.195044,9.759336,-3.552,-8.773,-2.205,9.718,2
-0.756,-10.96605,4.30095,11.803557,-2.902,-11.097,-1.223,12.262,3
4.555934,-12.903894,2.057229,13.838324,-0.931,-12.329,0.942,13.104,3
0.44895,0.09795,9.864,9.874698,0.446,0.101,9.873,9.884,0
-0.385466,0.88346,10.548853,10.592799,0.253,1.513,9.709,9.848,3
0.67905,-9.504001,-0.97095,9.577571,0.614,-9.589,-0.927,9.653,2
0.795015,0.954138,9.739087,9.817955,0.817,0.951,9.677,9.758,0
0.21195,0.07905,9.89505,9.897635,0.227,0.028,9.913,9.915,1
0.423,0.10095,9.864,9.873582,0.436,0.106,9.869,9.879,0
-0.39705,0.80205,9.84,9.880614,-0.118,0.944,9.711,9.76,1
0.73998,0.973281,9.698409,9.775172,0.791,0.968,9.677,9.757,0
-0.55005,0.702,10.06005,10.099503,-0.471,0.728,9.863,9.901,1
1.936392,0.536291,9.541679,9.750942,1.962,0.61,9.543,9.762,0
